X(TI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_NB	CPU_MU_TI	GPU_MU_NB	GPU_MU_TI	MU_NB_DIFF	MU_TI_DIFF	STATUS
0.7	1000	-48074.539122703842	-48074.539338119226	0.000215415384	-53001.239647032038	-45963.096040848883	-53001.239357685874	-45963.096164764196	0.000289346164	0.000123915313	PASS
0.8	500	-14980.128437379628	-14980.128437384397	0.000000004769	-19764.293346351500	-13784.087210142015	-19764.293346331335	-13784.087210128646	0.000000020165	0.000000013370	PASS
0.8	600	-20519.551524836839	-20519.551524839917	0.000000003078	-25191.946820622055	-19351.452700892853	-25191.946820595978	-19351.452700874430	0.000000026077	0.000000018423	PASS
0.8	700	-26635.447407143482	-26635.447551166464	0.000144022983	-31382.671693073407	-25448.641335660948	-31382.671493335332	-25448.641385555107	0.000199738075	0.000049894159	PASS
0.8	800	-33185.004959068792	-33185.005166065501	0.000206996709	-38730.827311763016	-31798.549370895242	-38730.826941893050	-31798.549463312374	0.000369869966	0.000092417133	PASS
0.8	900	-40080.256665578287	-40080.256948377937	0.000282799650	-46419.768751464115	-38495.378644106779	-46419.768160917913	-38495.378791682619	0.000590546202	0.000147575840	PASS
0.8	1000	-47287.228279177332	-47287.228651214959	0.000372037626	-54415.684288397344	-45505.114276872300	-54415.683424064679	-45505.114492883840	0.000864332666	0.000216011540	PASS
0.9	500	-14382.107823829332	-14382.107823763436	0.000000065897	-19764.293346351507	-13784.087210142023	-19764.293346331331	-13784.087210128651	0.000000020176	0.000000013371	PASS
0.9	600	-19930.256399316906	-19930.256548085770	0.000148768864	-25659.249931134713	-19293.701562448263	-25659.249313992197	-19293.701630995198	0.000617142516	0.000068546935	PASS
0.9	700	-25958.955986217839	-25958.956229309224	0.000243091385	-33199.191256009392	-25154.485400685477	-33199.190206828367	-25154.485517229274	0.001049181024	0.000116543797	PASS
0.9	800	-32378.182867628475	-32378.183231082341	0.000363453866	-41123.664097975634	-31406.462730923216	-41123.662488315982	-31406.462909734550	0.001609659652	0.000178811333	PASS
0.9	900	-39143.717445319795	-39143.717956317560	0.000510997765	-49388.922760953152	-38005.361299138349	-49388.920455901432	-38005.361555207215	0.002305051719	0.000256068866	PASS
0.9	1000	-46221.565156332887	-46221.565843041717	0.000686708830	-57961.155521162953	-44917.166226907291	-57961.152380093190	-44917.166575858442	0.003141069763	0.000348951151	PASS

# SUMMARY
# Total conditions tested: 54
# Passed: 54
# Failed: 0
# Pass rate: 100.0%
# Total time: 171.9 seconds
