X(CU)	X(FE)	X(AL)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_AL	CPU_MU_CU	CPU_MU_FE	GPU_MU_AL	GPU_MU_CU	GPU_MU_FE	MU_AL_DIFF	MU_CU_DIFF	MU_FE_DIFF	STATUS
0.3	0.1	0.6	800	-47731.658965448063	-44463.137788131018	3268.521177317045	-36913.709319340880	-62433.779135518242	-68532.996334331328	-34325.281423663051	-65781.216241327318	-68087.125771132967	2588.427895677829	3347.437105809076	445.870563198361	FAIL
0.3	0.2	0.5	800	-49677.658280609889	-47414.950236810750	2262.708043799139	-43520.289846282220	-56365.740795353413	-55038.955591975544	-35558.610132308764	-62771.661113722199	-68087.125771132967	7961.679713973455	6405.920318368786	13048.170179157423	FAIL
0.3	0.3	0.4	800	-50337.015440904768	-47506.224847184123	2830.790593720645	-50622.285110862074	-51583.769948789617	-48709.901373176908	-31596.879468427898	-69872.622804392988	-68087.125771132967	19025.405642434176	18288.852855603371	19377.224397956059	FAIL
0.3	0.4	0.3	800	-49137.867411358427	-28539.200522605661	20598.666888752767	-63763.703252795254	-45352.158362844115	-41007.772317041228	-1362769740505766912.000000000000	-1362769755902082304.000000000000	-68087.125771132967	1362769740505703168.000000000000	1362769755902036992.000000000000	27079.353454091739	FAIL
0.4	0.1	0.5	800	-49790.559177662515	-48678.149293972427	1112.409883690088	-42282.838904882134	-57349.811457038042	-57092.151427652920	-41457.640763574847	-55679.928411830108	-56911.433718149390	825.198141307286	1669.883045207935	180.717709503529	FAIL
0.4	0.2	0.4	800	-50625.629115599346	-28539.200522605661	22086.428592993685	-49565.217627141843	-52226.087958601827	-49545.534406397455	-1362769739423040256.000000000000	-1362769754825563648.000000000000	-56911.433718149390	1362769739422990592.000000000000	1362769754825511424.000000000000	7365.899311751935	FAIL
0.4	0.3	0.3	800	-49569.210602368075	-49759.407972000678	190.197369632602	-62950.394889395371	-45669.316623435094	-41387.884954416375	-32495.767292567576	-66749.535701318295	-56911.433718149390	30454.627596827795	21080.219077883201	15523.548763733015	FAIL
0.4	0.4	0.2	800	-46211.720092942589	-28539.200522605661	17672.519570336928	-81062.523929370771	-40096.275821549716	-34901.762446331006	-1362769740863766016.000000000000	-1362769756261028096.000000000000	-56911.433718149390	1362769740863684864.000000000000	1362769756260987904.000000000000	22009.671271818384	FAIL
0.1	0.1	0.8	1000	-56143.450656055771	-56794.014693432611	650.564037376840	-46529.013509143209	-87864.794022907299	-101337.604464504577	-55691.629459213378	-66585.569376313273	-98104.653464709583	9162.615950070169	21279.224646594026	3232.950999794994	FAIL
0.1	0.2	0.7	1000	-60491.613185294729	-59448.045366380393	1043.567818914336	-51204.629694807169	-78461.319829414482	-84011.202079940427	-50777.807526518634	-80110.437617340183	-98104.653464709583	426.822168288534	1649.117787925701	14093.451384769156	FAIL
0.1	0.3	0.6	1000	-62777.699468445586	-51581.083946871957	11196.615521573629	-57624.877696741780	-69770.644477949900	-70752.361342018674	-48073.274202822082	-80720.746385368533	-98104.653464709583	9551.603493919698	10950.101907418633	27352.292122690909	FAIL
0.1	0.4	0.5	1000	-63210.215806997854	-41934.736781694788	21275.479025303066	-64973.765351138987	-64109.442206564941	-60780.972275880427	-2002417377812150272.000000000000	-2002417392295320832.000000000000	-98104.653464709583	2002417377812085248.000000000000	2002417392295256832.000000000000	37323.681188829156	FAIL
0.2	0.1	0.7	1000	-59742.699455971415	-59500.279428742513	242.420027228902	-49509.920607676926	-80401.292793744404	-90054.964718485615	-59411.157826383562	-64113.175664314520	-88419.468281917783	9901.237218706636	16288.117129429884	1635.496436567832	FAIL
0.2	0.2	0.6	1000	-62618.033515798321	-54591.649571118440	8026.383944679881	-55879.328167903055	-71605.849124074681	-73846.333951294786	-46964.994817776154	-84854.329079078845	-88419.468281917783	8914.333350126901	13248.479955004164	14573.134330622997	FAIL
0.2	0.3	0.5	1000	-63477.705059281288	-59164.991465905317	4312.713593375971	-62672.503587364794	-65455.804853640046	-63500.974315965919	-40449.205311911501	-90075.590427672752	-88419.468281917783	22223.298275453293	24619.785574032707	24918.493965951864	FAIL
0.2	0.4	0.4	1000	-63112.535937483197	-59918.784687876418	3193.751249606779	-65046.210621278231	-64068.752251082973	-60700.753095609762	-61116.034006617163	-62803.799321833605	-88419.468281917783	3930.176614661068	1264.952929249368	27718.715186308022	FAIL
0.3	0.1	0.6	1000	-62308.017977794043	-62002.878328626073	305.139649167970	-53791.342911961910	-73961.993075526800	-78446.143079581525	-65964.545205315982	-59701.346350946056	-77922.130825713291	12173.202293354072	14260.646724580743	524.012253868234	FAIL
0.3	0.2	0.5	1000	-63617.772591024201	-62202.168043235091	1415.604547789109	-61640.437135749547	-66095.814219158579	-64844.048786398649	-66608.519144130551	-59634.924289575050	-77922.130825713291	4968.082008381003	6460.889929583529	13078.082039314642	FAIL
0.3	0.3	0.4	1000	-63449.335852246659	-62361.276826797890	1088.059025448769	-65046.210621278129	-64068.752251083104	-60700.753095609893	-67076.582008378406	-59706.754393037903	-77922.130825713291	2030.371387100276	4361.997858045201	17221.377730103399	FAIL
0.3	0.4	0.3	1000	-62297.945136201350	-41934.736781694795	20363.208354506554	-76328.638488681216	-58714.958990385683	-54462.164731637116	-2002417378960715008.000000000000	-2002417393443954176.000000000000	-77922.130825713291	2002417378960638720.000000000000	2002417393443895552.000000000000	23459.966094076175	FAIL
0.4	0.1	0.5	1000	-63709.654194246694	-63844.254648552953	134.600454306259	-59998.860427055981	-67502.712348639689	-67091.390413975823	-76590.355078671826	-55241.792152100505	-67702.322426420797	16591.494651615845	12260.920196539184	610.932012444973	FAIL
0.4	0.2	0.4	1000	-63786.135767832842	-63873.030007301546	86.894239468704	-65046.210621277984	-64068.752251083148	-60700.753095610024	-59829.047109957741	-67943.639917504770	-67702.322426420797	5217.163511320243	3874.887666421622	7001.569330810773	FAIL
0.4	0.3	0.3	1000	-62721.706797156614	-60361.690180576166	2360.016616580448	-75755.441592722214	-58945.239295048916	-54723.262004925964	-49791.781502896541	-76393.245722630731	-67702.322426420797	25963.660089825673	17448.006427581815	12979.060421494833	FAIL
0.4	0.4	0.2	1000	-59416.304836301540	-61668.982530377521	2252.677694075981	-94059.936084357876	-53148.404760860853	-48362.389288723316	-57239.737970820119	-69318.111083873897	-67702.322426420797	36820.198113537757	16169.706323013044	19339.933137697481	FAIL

# SUMMARY
# Total conditions tested: 48
# Passed: 0
# Failed: 48
# Pass rate: 0.0%
# CPU time: 1.0 seconds
# GPU time: 1.1 seconds
# Speedup: 0.9x
# Total time: 2.1 seconds

# FAILED CONDITIONS:
# X(CU)=0.1, X(FE)=0.1, T=600K
# X(CU)=0.1, X(FE)=0.2, T=600K
# X(CU)=0.1, X(FE)=0.3, T=600K
# X(CU)=0.1, X(FE)=0.4, T=600K
# X(CU)=0.2, X(FE)=0.1, T=600K
# X(CU)=0.2, X(FE)=0.2, T=600K
# X(CU)=0.2, X(FE)=0.3, T=600K
# X(CU)=0.2, X(FE)=0.4, T=600K
# X(CU)=0.3, X(FE)=0.1, T=600K
# X(CU)=0.3, X(FE)=0.2, T=600K
# X(CU)=0.3, X(FE)=0.3, T=600K
# X(CU)=0.3, X(FE)=0.4, T=600K
# X(CU)=0.4, X(FE)=0.1, T=600K
# X(CU)=0.4, X(FE)=0.2, T=600K
# X(CU)=0.4, X(FE)=0.3, T=600K
# X(CU)=0.4, X(FE)=0.4, T=600K
# X(CU)=0.1, X(FE)=0.1, T=800K
# X(CU)=0.1, X(FE)=0.2, T=800K
# X(CU)=0.1, X(FE)=0.3, T=800K
# X(CU)=0.1, X(FE)=0.4, T=800K
# X(CU)=0.2, X(FE)=0.1, T=800K
# X(CU)=0.2, X(FE)=0.2, T=800K
# X(CU)=0.2, X(FE)=0.3, T=800K
# X(CU)=0.2, X(FE)=0.4, T=800K
# X(CU)=0.3, X(FE)=0.1, T=800K
# X(CU)=0.3, X(FE)=0.2, T=800K
# X(CU)=0.3, X(FE)=0.3, T=800K
# X(CU)=0.3, X(FE)=0.4, T=800K
# X(CU)=0.4, X(FE)=0.1, T=800K
# X(CU)=0.4, X(FE)=0.2, T=800K
# X(CU)=0.4, X(FE)=0.3, T=800K
# X(CU)=0.4, X(FE)=0.4, T=800K
# X(CU)=0.1, X(FE)=0.1, T=1000K
# X(CU)=0.1, X(FE)=0.2, T=1000K
# X(CU)=0.1, X(FE)=0.3, T=1000K
# X(CU)=0.1, X(FE)=0.4, T=1000K
# X(CU)=0.2, X(FE)=0.1, T=1000K
# X(CU)=0.2, X(FE)=0.2, T=1000K
# X(CU)=0.2, X(FE)=0.3, T=1000K
# X(CU)=0.2, X(FE)=0.4, T=1000K
# X(CU)=0.3, X(FE)=0.1, T=1000K
# X(CU)=0.3, X(FE)=0.2, T=1000K
# X(CU)=0.3, X(FE)=0.3, T=1000K
# X(CU)=0.3, X(FE)=0.4, T=1000K
# X(CU)=0.4, X(FE)=0.1, T=1000K
# X(CU)=0.4, X(FE)=0.2, T=1000K
# X(CU)=0.4, X(FE)=0.3, T=1000K
# X(CU)=0.4, X(FE)=0.4, T=1000K
